"Title","FunctionCall","Description","BiocVersion","DatasetVersion","SourceUrl","SourceVersion","RDataClass","LocationPrefix","RDataPath","DataType","DatasetType","Notes","SourceType","DispatchClass","Genome","Coordinate_1_based","Species","TaxonomyId","DataProvider","Maintainer"
"Damond_2019_Pancreas - sce - v1","Damond_2019_Pancreas(data_type = 'sce')","Single cell data (subset) for the Damond_2019_Pancreas IMC dataset","3.16","v1","http://dx.doi.org/10.17632/cydmwsfztj.2","Apr 04 2020","SingleCellExperiment","https://zenodo.org/","records/20623726/files/sce.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Damond_2019_Pancreas - images - v1","Damond_2019_Pancreas(data_type = 'images')","Multichannel images (subset) for the Damond_2019_Pancreas IMC dataset","3.16","v1","http://dx.doi.org/10.17632/cydmwsfztj.2","Apr 04 2020","CytoImageList","https://zenodo.org/","records/20623726/files/images.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Damond_2019_Pancreas - masks - v1","Damond_2019_Pancreas(data_type = 'masks')","Cell masks (subset) for the Damond_2019_Pancreas IMC dataset","3.16","v1","http://dx.doi.org/10.17632/cydmwsfztj.2","Apr 04 2020","CytoImageList","https://zenodo.org/","records/20623726/files/masks.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Damond_2019_Pancreas - sce - v1 - full","Damond_2019_Pancreas(data_type = 'sce', full_dataset = TRUE)","Single cell data (full dataset) for the Damond_2019_Pancreas IMC dataset","3.17","v1","http://dx.doi.org/10.17632/cydmwsfztj.2","Apr 04 2020","SingleCellExperiment","https://zenodo.org/","records/20623726/files/sce_full.rds","sce","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Damond_2019_Pancreas - masks - v1 - full","Damond_2019_Pancreas(data_type = 'masks', full_dataset = TRUE)","Cell masks (full dataset) for the Damond_2019_Pancreas IMC dataset","3.17","v1","http://dx.doi.org/10.17632/cydmwsfztj.2","Apr 04 2020","CytoImageList","https://zenodo.org/","records/20623726/files/masks_full.rds","masks","full dataset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Damond_2019_Pancreas - sce - v0","Damond_2019_Pancreas(data_type = 'sce', dataset_version = 'v0')","Single cell data (subset) for the Damond_2019_Pancreas IMC dataset","3.13","v0","http://dx.doi.org/10.17632/cydmwsfztj.2","Apr 04 2020","SingleCellExperiment","https://zenodo.org/","records/20623362/files/sce.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Damond_2019_Pancreas - images - v0","Damond_2019_Pancreas(data_type = 'images', dataset_version = 'v0')","Multichannel images (subset) for the Damond_2019_Pancreas IMC dataset","3.13","v0","http://dx.doi.org/10.17632/cydmwsfztj.2","Apr 04 2020","CytoImageList","https://zenodo.org/","records/20623362/files/images.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"Damond_2019_Pancreas - masks - v0","Damond_2019_Pancreas(data_type = 'masks', dataset_version = 'v0')","Cell masks (subset) for the Damond_2019_Pancreas IMC dataset","3.13","v0","http://dx.doi.org/10.17632/cydmwsfztj.2","Apr 04 2020","CytoImageList","https://zenodo.org/","records/20623362/files/masks.rds","masks","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - rna - sce - v1","HochSchulz_2022_Melanoma(data_type = 'sce', panel = 'rna')","Single cell data (RNA panel, subset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","SingleCellExperiment","https://zenodo.org/","records/20623014/files/sce_rna.rds","sce","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
"HochSchulz_2022_Melanoma - rna - images - v1","HochSchulz_2022_Melanoma(data_type = 'images', panel = 'rna')","Multichannel images (RNA panel, subset) for the HochSchulz_2022_Melanoma IMC dataset","3.17","v1","https://doi.org/10.5281/zenodo.5994136","Feb 07 2022","CytoImageList","https://zenodo.org/","records/20623014/files/images_rna.rds","images","matched subset","","Zip","Rds",NA,NA,"Homo sapiens",9606,"University of Zurich","Nicolas Damond <nicolas.damond@dqbm.uzh.ch>, Nathan Steenbuck <nathan.steenbuck@uzh.ch>"
